sentence_id	sentence	sentence_domain	source	is_used	clips_count
0ad8b57e9eb8ff1bfae4eec74739203f4648c646cd8443c8640f8d3b75fe8e64	მოსაქვარექ გოჩიჩონდჷ, მარა ორაგადეთ მუთუნქ ვა აკანწყუ.		ანტუან დე სენტ-ეგზიუპერი, “ჭიჭე მაფასქირი“. მეგრულად თარგმნა გივი გ. ქარჩავამ	1	0
1a3c5f2eeb03218397148020d3868dcd7837e097fa3cdaad0e85c6a9fab15a64	სუმს ქომევუძინათ ჟირინ, იჸუაფჷ ხუთი.		ანტუან დე სენტ-ეგზიუპერი, “ჭიჭე მაფასქირი“. მეგრულად თარგმნა გივი გ. ქარჩავამ	1	0
3823a223fb9466c15ca483e2491f70eeaa140599b61bf3d52864a6a2c966f30a	მინილჷ სადგჷმშა დო მონკა ბაჯგაფით მუკულუ პროლს მუკი-მუკიშე.		ჯორჯ ორუელი „ორინჯეფიშ ფერმა“, მეგრულად თარგმნა გივი გ. ქარჩავამ, თბილისი, 2021.	1	0
6892b9599a6a580b6750636e75843edd0641da61ce8e0f672633ec27e945ce05	თიქ მაართათ ინარღჷ პეულიშ მეტება, მარა უკულ კინ აკიკოროფჷ ქომოლობა.		ანტუან დე სენტ-ეგზიუპერი, “ჭიჭე მაფასქირი“. მეგრულად თარგმნა გივი გ. ქარჩავამ	1	0
770a81bafdfcd50ae1471acff24bbd51c832d195e3c6d4263e4c0459053d901b	ნერჩი ხოლო გეცუმილი რდჷ გვარიანო.		ჯორჯ ორუელი „ორინჯეფიშ ფერმა“, მეგრულად თარგმნა გივი გ. ქარჩავამ, თბილისი, 2021.	1	0
814d4f64b0a2accd1e3497e7cdd992c019ba2e50bde6af49d56689c6780049e2	გეოგრაფი მენცარიე, ნამუსუთ უჩქჷ სო ძჷ ნამდგა იჸინ ზუღა, ღალი, ნოღა, გვალა დო ჩხეტიოზი.		ანტუან დე სენტ-ეგზიუპერი, “ჭიჭე მაფასქირი“. მეგრულად თარგმნა გივი გ. ქარჩავამ	1	0
b1f33c6788fc2dfb4dbbffc20835b452b46341ad7eb9ac1b2ecdad47ed170d96	ნანდულს გიჸორს, ორქოთ მიგოცქუ, პატი ვაგაშინ, ვაგემინჯებუ.		შ. ბერიძე, მეგრული (ივერული) ენა, ტბილისი, 1920	1	0
b743c91be0f2cee23747d6962ce3520200aa74848524214ec8416909885ff826	ტეტეჩიქ ქუდი გეინწყჷ დო დიდი ამბეთ დუც გიმუკინჷ.		ანტუან დე სენტ-ეგზიუპერი, “ჭიჭე მაფასქირი“. მეგრულად თარგმნა გივი გ. ქარჩავამ	1	0
00fce5f394b56c5a3acf88d8e6cc6fc54a94ad37c75056f9847175aafd56883b	ოჭიროთაია ხელუა მიღჷ.		ანტუან დე სენტ-ეგზიუპერი, “ჭიჭე მაფასქირი“. მეგრულად თარგმნა გივი გ. ქარჩავამ	1	1
04cdd0cb1321e540579b3e44a7fc7503bd67baff732dd5ab8a98ea144f71c077	თინა აბსოლუტურ მონარქი გოხოლუდეს, მარა გურალალ რდუნ თიშ გეშა, ჭკვერულ ზოჯუეფს ირზენდჷ.		ანტუან დე სენტ-ეგზიუპერი, “ჭიჭე მაფასქირი“. მეგრულად თარგმნა გივი გ. ქარჩავამ	1	1
0c5027b649a976ca4b03785aeee4c5b7cef5158bd621340a870124741e529e16	საგესქუოშ უკახალე ართი ჭიჭე ფაცხაჯგურა კინოდგუდ, სოდეთ წოხლე პივას ნოფუნაფუედეს.		ჯორჯ ორუელი „ორინჯეფიშ ფერმა“, მეგრულად თარგმნა გივი გ. ქარჩავამ, თბილისი, 2021.	1	1
19996fa57ad4e13226a516d2e7e7e6616e416ba8ca615358ca9986f35317ed0f	მა საქვარიშ კოჩი ვორექ დო ირფელიშ მეღანკუა მიჸორს.		ანტუან დე სენტ-ეგზიუპერი, “ჭიჭე მაფასქირი“. მეგრულად თარგმნა გივი გ. ქარჩავამ	1	1
2536e7be4569624786bcd3e93fe39d274d71082a9cf2663bcb2b3db08db5fc44	ვართ თეშენ მარაგადე მუთუნ,მუთ ვამიჩქუნ, ვამიჩქ.		ანტუან დე სენტ-ეგზიუპერი, “ჭიჭე მაფასქირი“. მეგრულად თარგმნა გივი გ. ქარჩავამ	1	1
