client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment	sentence_norm	duration[ms]
7805b6a0fad5179e158296a21de58b5fe3c805e92c0f78b07e2f4b827504587ba90773be202f684c4af69eff74e7c94e71e0569a689f48bc69d2cf5afb609353	common_voice_xmf_42539060.wav	e65d9da56b5c947c57cdbb5dcb37d69cbebb780934abeb43d51c6fdc6ef2fa2b	თექ გომარტუა ბორჯის იჸუ.		4	0	twenties	male	ზუგიდური, ზუგიდური		xmf		თექ გომარტუა ბორჯის იჸუ	4356
7805b6a0fad5179e158296a21de58b5fe3c805e92c0f78b07e2f4b827504587ba90773be202f684c4af69eff74e7c94e71e0569a689f48bc69d2cf5afb609353	common_voice_xmf_42539155.wav	aa4a96d201ace9fda943f149b3640a5e0e53f36a667efba5bd434ee9cc6814c6	შურო მუთუნს ქოთქუანდუდა, თის ხოლო ერთელ-მერთელს.		4	0	twenties	male	ზუგიდური, ზუგიდური		xmf		შურო მუთუნს ქოთქუანდუდა თის ხოლო ერთელ მერთელს	5148
7805b6a0fad5179e158296a21de58b5fe3c805e92c0f78b07e2f4b827504587ba90773be202f684c4af69eff74e7c94e71e0569a689f48bc69d2cf5afb609353	common_voice_xmf_42539230.wav	0f641fd3482f0b33a160ab18a40d788bce608666abf5218ebf1f2de64b644669	პეულქ ქომიოხვალჷ, მარა ენა გორგილაფაშ გეშა ვარდჷ.		4	0	twenties	male	ზუგიდური, ზუგიდური		xmf		პეულქ ქომიოხვალჷ მარა ენა გორგილაფაშ გეშა ვარდჷ	5616
7805b6a0fad5179e158296a21de58b5fe3c805e92c0f78b07e2f4b827504587ba90773be202f684c4af69eff74e7c94e71e0569a689f48bc69d2cf5afb609353	common_voice_xmf_42539233.wav	d6245987e631406c36c86f17c888a750904511e41bec299a938fbf7968e75a85	ათე დროს გითილჷ ჟირი დიდი გვერქჷ დო ართი წყარიშა დინილესჷ.		4	0	twenties	male	ზუგიდური, ზუგიდური		xmf		ათე დროს გითილჷ ჟირი დიდი გვერქჷ დო ართი წყარიშა დინილესჷ	4968
7805b6a0fad5179e158296a21de58b5fe3c805e92c0f78b07e2f4b827504587ba90773be202f684c4af69eff74e7c94e71e0569a689f48bc69d2cf5afb609353	common_voice_xmf_42539260.wav	0b198f74c954977238cf0789dec02b06c3a7cdded70f5b8c772b1aa2196770f5	მა ბჯერს, ნამდა თე ბირას ჩქინ კჷნოხონეფი ჯვეშო ხოლო იბირდეს.		4	0	twenties	male	ზუგიდური, ზუგიდური		xmf		მა ბჯერს ნამდა თე ბირას ჩქინ კჷნოხონეფი ჯვეშო ხოლო იბირდეს	5976
7805b6a0fad5179e158296a21de58b5fe3c805e92c0f78b07e2f4b827504587ba90773be202f684c4af69eff74e7c94e71e0569a689f48bc69d2cf5afb609353	common_voice_xmf_42539266.wav	5e493d4741b1821771e63fd1b8e859a0a094a2b0d84dd2f86b8052ef2b439838	მუთ ჭყანა აფუდჷ ასქილადირინ, აკიკოროფჷ დო დაჩხირცალო ქიმწოლჷ.		4	0	twenties	male	ზუგიდური, ზუგიდური		xmf		მუთ ჭყანა აფუდჷ ასქილადირინ აკიკოროფჷ დო დაჩხირცალო ქიმწოლჷ	5940
7805b6a0fad5179e158296a21de58b5fe3c805e92c0f78b07e2f4b827504587ba90773be202f684c4af69eff74e7c94e71e0569a689f48bc69d2cf5afb609353	common_voice_xmf_42539284.wav	e4c36dd6ba21b02573d2219af51f5460dadd1686f88c1acba67a165f09b33c19	მუშა გიფულათ დო გვალო გემუან დანჯირალ ქორე.		4	0	twenties	male	ზუგიდური, ზუგიდური		xmf		მუშა გიფულათ დო გვალო გემუან დანჯირალ ქორე	5616
7805b6a0fad5179e158296a21de58b5fe3c805e92c0f78b07e2f4b827504587ba90773be202f684c4af69eff74e7c94e71e0569a689f48bc69d2cf5afb609353	common_voice_xmf_42539285.wav	49ccf8570e9b8f713ae2b7db19b2775b0ccd4c5f856fe306716cd3d87050183c	ქუალეფი მონთირესკო დო კიდალა გედგესკო ოკო.		4	0	twenties	male	ზუგიდური, ზუგიდური		xmf		ქუალეფი მონთირესკო დო კიდალა გედგესკო ოკო	4716
7805b6a0fad5179e158296a21de58b5fe3c805e92c0f78b07e2f4b827504587ba90773be202f684c4af69eff74e7c94e71e0569a689f48bc69d2cf5afb609353	common_voice_xmf_42539286.wav	04bf57f6d95b3c485d1392a8b1a3174c7066525b74a3287cc61d048b8861a550	აკაკაკალია ორინჯი ვა რდჷ დოსქილადირ, მიდგაქ მუშობურათ ჟღამი ვეშეღუნ.		4	0	twenties	male	ზუგიდური, ზუგიდური		xmf		აკაკაკალია ორინჯი ვა რდჷ დოსქილადირ მიდგაქ მუშობურათ ჟღამი ვეშეღუნ	6516
7805b6a0fad5179e158296a21de58b5fe3c805e92c0f78b07e2f4b827504587ba90773be202f684c4af69eff74e7c94e71e0569a689f48bc69d2cf5afb609353	common_voice_xmf_42539297.wav	f8033381570a8c3825d619408fccfd1c54f540d01724c3b882e8026ab42be88f	ქიანაშ სხუნუაქ დო ნირზიქ მაჸუნჷ ათე ჩხუპიშა სახელიშ გედვალას.		4	0	twenties	male	ზუგიდური, ზუგიდური		xmf		ქიანაშ სხუნუაქ დო ნირზიქ მაჸუნჷ ათე ჩხუპიშა სახელიშ გედვალას	6156
